tweet 12:Time:Mon Dec 14 18:57:45 +0000 2020 ,tweet text:RT GOT7Official: GOT7 on resolving differences fan memes and finding confidence\nhttps:\/\/t.co\/YH30hEg1iY\n\nYouTube https:\/\/t.co\/z7CjZnjbkX\u2026
tweet 13:Time:Mon Dec 14 18:57:46 +0000 2020 ,tweet text:RT RepMattGaetz: Democrats don't care about democracy. They care about power. GaetzTakes\n\nhttps:\/\/t.co\/qIoV3OhE6U
tweet 14:Time:Mon Dec 14 18:57:46 +0000 2020 ,tweet text:benfergusonshow Ben - The speed of your podcast on Apple is screwed up.  It is gibberish.  Please listen to the po\u2026 https:\/\/t.co\/QpWdE5Ifzf""displaytextrange":17140"source":"\u003ca href=\"http:\/\/twitter.com\/download\/iphone\" rel=\"nofollow\"\u003eTwitter for iPhone\u003c\/a\u003e""truncated":true"inreplytostatusid":1220471699948363781"inreplytostatusidstr":"1220471699948363781""inreplytouserid":45445747"inreplytouseridstr":"45445747""inreplytoscreenname":"benfergusonshow""user":"id":1325595245002846208"idstr":"1325595245002846208""name":"Swashbuckler""screenname":"RobertF50268554""location":"The Universe""url":null"description":null"translatortype":"none""protected":false"verified":false"followerscount":17"friendscount":190"listedcount":1"favouritescount":2783"statusescount":2197"createdat":"Mon Nov 09 00:25:33 +0000 2020""utcoffset":null"timezone":null"geoenabled":false"lang":null"contributorsenabled":false"istranslator":false"profilebackgroundcolor":"F5F8FA""profilebackgroundimageurl":"""profilebackgroundimageurlhttps":"""profilebackgroundtile":false"profilelinkcolor":"1DA1F2""profilesidebarbordercolor":"C0DEED""profilesidebarfillcolor":"DDEEF6""profiletextcolor":"333333""profileusebackgroundimage":true"profileimageurl":"http:\/\/pbs.twimg.com\/profileimages\/1337151341253324800\/kHfghWicnormal.jpg""profileimageurlhttps":"https:\/\/pbs.twimg.com\/profileimages\/1337151341253324800\/kHfghWicnormal.jpg""profilebannerurl":"https:\/\/pbs.twimg.com\/profilebanners\/1325595245002846208\/1607636698""defaultprofile":true"defaultprofileimage":false"following":null"followrequestsent":null"notifications":null"geo":null"coordinates":null"place":null"contributors":null"isquotestatus":false"extendedtweet":"fulltext":"benfergusonshow Ben - The speed of your podcast on Apple is screwed up.  It is gibberish.  Please listen to the podcast about the Criminal Biden family.""displaytextrange":17153"entities":"hashtags":"urls":"usermentions":"screenname":"benfergusonshow""name":"Ben Ferguson""id":45445747"idstr":"45445747""indices":016"symbols":"quotecount":0"replycount":0"retweetcount":0"favoritecount":0"entities":"hashtags":"urls":"url":"https:\/\/t.co\/QpWdE5Ifzf""expandedurl":"https:\/\/twitter.com\/i\/web\/status\/1338558817995546627""displayurl":"twitter.com\/i\/web\/status\/1\u2026""indices":117140"usermentions":"screenname":"benfergusonshow""name":"Ben Ferguson""id":45445747"idstr":"45445747""indices":016"symbols":"favorited":false"retweeted":false"filterlevel":"low""lang":"en""timestampms":"1607972266087"
tweet 15:Time:Mon Dec 14 18:57:46 +0000 2020 ,tweet text:it\u2019s been 2 years since he the world one of the best songs to exist https:\/\/t.co\/lofT1fQ4w0
tweet 16:Time:Mon Dec 14 18:57:46 +0000 2020 ,tweet text:Any of my friends irl have Spotify can y\u2019all confirm this?! I don\u2019t have Spotify I have money. Help. I\u2019m an Apple M\u2026 https:\/\/t.co\/qObWxNrF13
tweet 17:Time:Mon Dec 14 18:57:46 +0000 2020 ,tweet text:https:\/\/t.co\/CUp6Y4p1Kb
tweet 18:Time:Mon Dec 14 18:57:47 +0000 2020 ,tweet text:im so hungry i could eat a potato like an apple right now
tweet 19:Time:Mon Dec 14 18:57:47 +0000 2020 ,tweet text:Bet it was easy to get back with your girl with music like this.. https:\/\/t.co\/iPGTVyooz6
tweet 20:Time:Mon Dec 14 18:57:48 +0000 2020 ,tweet text:RT GOT7Official: \ud22c\ud45c\uc548\ub0b4 2020 GAONCHART MUSIC AWARDS\n\n\u2705 2\ucc28 \ud22c\ud45c\uae30\uac04  2020.12.27 18:00 (KST)\n\n\u2705 \ubba4\ube57 \uae00\ub85c\ubc8c \ucd08\uc774\uc2a4\uc0c1 \ub0a8\uc790 \ubd80\ubb38 - GOT7(\uac13\uc138\ube10)\n\n\u2705 ios - https:\/\/\u2026
tweet 21:Time:Mon Dec 14 18:57:48 +0000 2020 ,tweet text:RT taylordata13: .taylorswift13's \"'tis the damn season\" reached a new peak on Apple Music US chart at 6 (+1).
