tweet 12:Time:Mon Dec 14 18:33:55 +0000 2020 ,tweet text:LaureSalvy opodo AirFranceFR KLM 60millions https:\/\/t.co\/CCkBNiwOCU""displaytextrange":4972"source":"\u003ca href=\"http:\/\/twitter.com\/download\/iphone\" rel=\"nofollow\"\u003eTwitter for iPhone\u003c\/a\u003e""truncated":false"inreplytostatusid":1334912535758303235"inreplytostatusidstr":"1334912535758303235""inreplytouserid":943131613"inreplytouseridstr":"943131613""inreplytoscreenname":"LaureSalvy""user":"id":1251207848178192385"idstr":"1251207848178192385""name":"Weiz Dave""screenname":"WaysDave""location":null"url":null"description":null"translatortype":"none""protected":false"verified":false"followerscount":12"friendscount":80"listedcount":0"favouritescount":461"statusescount":377"createdat":"Fri Apr 17 17:56:40 +0000 2020""utcoffset":null"timezone":null"geoenabled":false"lang":null"contributorsenabled":false"istranslator":false"profilebackgroundcolor":"F5F8FA""profilebackgroundimageurl":"""profilebackgroundimageurlhttps":"""profilebackgroundtile":false"profilelinkcolor":"1DA1F2""profilesidebarbordercolor":"C0DEED""profilesidebarfillcolor":"DDEEF6""profiletextcolor":"333333""profileusebackgroundimage":true"profileimageurl":"http:\/\/pbs.twimg.com\/profileimages\/1252339609423536128\/HRK96Ndgnormal.jpg""profileimageurlhttps":"https:\/\/pbs.twimg.com\/profileimages\/1252339609423536128\/HRK96Ndgnormal.jpg""profilebannerurl":"https:\/\/pbs.twimg.com\/profilebanners\/1251207848178192385\/1587416180""defaultprofile":true"defaultprofileimage":false"following":null"followrequestsent":null"notifications":null"geo":null"coordinates":null"place":null"contributors":null"isquotestatus":false"quotecount":0"replycount":0"retweetcount":0"favoritecount":0"entities":"hashtags":"urls":"url":"https:\/\/t.co\/CCkBNiwOCU""expandedurl":"https:\/\/www.facebook.com\/Plainte-g%C3%A9n%C3%A9ralis%C3%A9e-contre-OPODO-syst%C3%A8me-pyramidal-102286018436277\/""displayurl":"facebook.com\/Plainte-g%C3%A\u2026""indices":4972"usermentions":"screenname":"LaureSalvy""name":"laure.coulon""id":943131613"idstr":"943131613""indices":011"screenname":"opodo""name":"Opodo""id":69533721"idstr":"69533721""indices":1218"screenname":"AirFranceFR""name":"Air France FR""id":40205617"idstr":"40205617""indices":1931"screenname":"KLM""name":"KLM""id":56377143"idstr":"56377143""indices":3236"screenname":"60millions""name":"60 Millions de consommateurs""id":361859012"idstr":"361859012""indices":3748"symbols":"favorited":false"retweeted":false"possiblysensitive":false"filterlevel":"low""lang":"und""timestampms":"1607970835847"
tweet 13:Time:Mon Dec 14 18:33:55 +0000 2020 ,tweet text:RT ginachron: \ud83c\udd98\ufe0fNYCACC Death Sentences 15 - 17 DEC. These pups all need dog savvy Foster\/Adopters in N East to open heart +home and help\u2026
tweet 14:Time:Mon Dec 14 18:33:56 +0000 2020 ,tweet text:RT TopAchat: Concours \ud83c\udf81 PetitPapaTopAchat \ud83c\udf84\n\n\ud83d\udd25 + de 60 000 \u20ac de cadeaux \u00e0 gagner !\n\nPlace au Lot12 de 3966 \u20ac ! \ud83d\udd25\n\nPour participer\n\u2611 RT\u2026
tweet 15:Time:Mon Dec 14 18:33:56 +0000 2020 ,tweet text:https:\/\/t.co\/HpCaL7Q4PY
tweet 16:Time:Mon Dec 14 18:33:56 +0000 2020 ,tweet text:https:\/\/t.co\/CIn9lzmy7F
tweet 17:Time:Mon Dec 14 18:33:56 +0000 2020 ,tweet text:RT TopAchat: Concours \ud83c\udf81 PetitPapaTopAchat \ud83c\udf84\n\n\ud83d\udd25 + de 60 000 \u20ac de cadeaux \u00e0 gagner !\n\nPlace au Lot12 de 3966 \u20ac ! \ud83d\udd25\n\nPour participer\n\u2611 RT\u2026
tweet 18:Time:Mon Dec 14 18:33:56 +0000 2020 ,tweet text:RT TopAchat: Concours \ud83c\udf81 PetitPapaTopAchat \ud83c\udf84\n\n\ud83d\udd25 + de 60 000 \u20ac de cadeaux \u00e0 gagner !\n\nPlace au Lot12 de 3966 \u20ac ! \ud83d\udd25\n\nPour participer\n\u2611 RT\u2026
tweet 19:Time:Mon Dec 14 18:33:56 +0000 2020 ,tweet text:ZaidJilani Putin really didn\u2019t get his money\u2019s worth for those $1200 in Facebook ads.""displaytextrange":1286"source":"\u003ca href=\"http:\/\/tapbots.com\/tweetbot\" rel=\"nofollow\"\u003eTweetbot for i\u039fS\u003c\/a\u003e""truncated":false"inreplytostatusid":1338552436932419584"inreplytostatusidstr":"1338552436932419584""inreplytouserid":66533920"inreplytouseridstr":"66533920""inreplytoscreenname":"ZaidJilani""user":"id":2321481192"idstr":"2321481192""name":"ed""screenname":"eleventy17""location":"Lillehammer""url":null"description":"Whirl the wheel.""translatortype":"none""protected":false"verified":false"followerscount":276"friendscount":555"listedcount":9"favouritescount":38752"statusescount":10625"createdat":"Fri Jan 31 23:26:46 +0000 2014""utcoffset":null"timezone":null"geoenabled":false"lang":null"contributorsenabled":false"istranslator":false"profilebackgroundcolor":"131516""profilebackgroundimageurl":"http:\/\/abs.twimg.com\/images\/themes\/theme14\/bg.gif""profilebackgroundimageurlhttps":"https:\/\/abs.twimg.com\/images\/themes\/theme14\/bg.gif""profilebackgroundtile":true"profilelinkcolor":"ABB8C2""profilesidebarbordercolor":"000000""profilesidebarfillcolor":"000000""profiletextcolor":"000000""profileusebackgroundimage":true"profileimageurl":"http:\/\/pbs.twimg.com\/profileimages\/707737816231333890\/syFpX0-Anormal.jpg""profileimageurlhttps":"https:\/\/pbs.twimg.com\/profileimages\/707737816231333890\/syFpX0-Anormal.jpg""profilebannerurl":"https:\/\/pbs.twimg.com\/profilebanners\/2321481192\/1479964892""defaultprofile":false"defaultprofileimage":false"following":null"followrequestsent":null"notifications":null"geo":null"coordinates":null"place":null"contributors":null"isquotestatus":false"quotecount":0"replycount":0"retweetcount":0"favoritecount":0"entities":"hashtags":"urls":"usermentions":"screenname":"ZaidJilani""name":"Zaid Jilani""id":66533920"idstr":"66533920""indices":011"symbols":"favorited":false"retweeted":false"filterlevel":"low""lang":"en""timestampms":"1607970836593"
tweet 20:Time:Mon Dec 14 18:33:56 +0000 2020 ,tweet text:RT TopAchat: Concours \ud83c\udf81 PetitPapaTopAchat \ud83c\udf84\n\n\ud83d\udd25 + de 60 000 \u20ac de cadeaux \u00e0 gagner !\n\nPlace au Lot12 de 3966 \u20ac ! \ud83d\udd25\n\nPour participer\n\u2611 RT\u2026
tweet 21:Time:Mon Dec 14 18:33:56 +0000 2020 ,tweet text:RT ChrisBelisario: \u27a1\ufe0fCorpivensa es la empresa piloto del Complejo Industrial Venezolano es interesante saber sobre lo que acontece en el\u2026
tweet 22:Time:Mon Dec 14 18:33:57 +0000 2020 ,tweet text:U of C infectious diseases expert Dr. Lanson is answering reader questions Live now https:\/\/t.co\/zelefZugiN
